,,,,,,,,,,,,,,,,,,,,,,,South American flat slabs,,,
,Model name,Primary purpose,Model name in publication,Reconstruction,SVN version of reconstruction,Start age,End age,Restart of model,Rayleigh number,Viscosity structure,CitcomS Rheol,Temperature dependent viscosity,Composition dependent viscosity,Phase change,Initial slab depth (km),Slabs vertical from (km),Crust buoyancy,Archean lith. buoyancy,Proterozoic lith. buoyancy,Phanerozoic lith. buoyancy,Basal layer buoyancy,Tracer stencil around subduction zones (km),Ramos and Folguera (2009) scenario,Buoyancy in sub-horizontal part,Comments,Known issues
,gld257,Sea level - EX,,2015.1,618,350,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=133.1",
,gld256,Sea level - EX,,2015.2,875,230,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq; Lower thermal boundary layer is 113 km thick in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=121.65,
,gld255,Sea level - EX,,2015.2,875,230,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=132.11",
,gld254,Western Tethys,,2015.2,875,230,,,8.60E+08,"1,0.1,1,100",20,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,,
,gld253,Sea level - EX,,2015.1,618,350,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=130.4",
,gld252,Sea level - EX,,2015.1,618,230,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq; Lower thermal boundary layer is 113 km thick in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Q0=130.4,
,gld251,Perm anomaly - EX,,2015.1,618,325,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26",
,gld250,Perm anomaly - EX,,2015.1,618,350,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26",
,gld249,Perm anomaly - EX,,2013.2,252,325,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26",
,gld248,Perm anomaly,Case 13 (F - in revision),2015.1,618,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,425,425,-0.8345,-0.235,-0.211,-0.192,0.2,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld247,Perm anomaly,Case 12 (F - in revision),2015.1,618,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,425,425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld246,Perm anomaly - EX,,2013.2,252,350,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26",
,gld245,Sea level - EX,,2013.2,252,230,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26; Accuracy is 2e-4",
,gld244,Sea level - EX,,2013.2,252,230,,,8.60E+08,"0.02,0.02,0.02,0.02",7,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015); rheology as in Hassan et al. (2015): ViscE=11 ViscZ=26",
,gld243,Sea level - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",28,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Activation energy of 6 in the lower mantle; Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015)",
,gld242,Sea level - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",28,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC; Alpha as in Hassan et al. (2015)",
,gld241,SE Asia,,2015.2,873,230,,,8.60E+08,"1,0.1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld240,Perm anomaly - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",28,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Extended Boussinesq; Lower thermal boundary layer is 226 km thick, rather than 113 km thick, in IC",accuracy was meant to be 5e-4 rather than 5e-3
,gld239,Perm anomaly - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq,accuracy was meant to be 5e-4 rather than 5e-3
,gld238,Perm anomaly - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",21,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq; accuracy 5e-3,accuracy was meant to be 5e-4 rather than 5e-3
,gld237,Perm anomaly - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",28,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq; accuracy 1e-4,
,gld236,Perm anomaly - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",21,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq,
,gld235,Perm anomaly - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",28,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq,
,gld234,Perm anomaly - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",21,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,2,100,Yes,Yes,Extended Boussinesq,only one tracer flavour considered
,gld233,Perm anomaly,Case 6 (F - in revision),2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,N/A,100,Yes,Yes,No asthenosphere,
,gld232,Perm anomaly,Case 5 (F - in revision),2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.1,100,Yes,Yes,No asthenosphere,
,gld231,Perm anomaly - EX,,2013.2,252,230,,,1.00E+09,"1,1,1,10",21,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,2,100,Yes,Yes,Extended Boussinesq,only one tracer flavour considered
,gld230,Perm anomaly,Case 7 (F - in revision),2015.1,618,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld229,Perm anomaly - EX,,2013.2,252,230,,,1.00E+09,"1,1,1,10",29,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,1,100,Yes,Yes,Extended Boussinesq,only one tracer flavour considered
,gld228,Perm anomaly - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",28,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,1,100,Yes,Yes,Extended Boussinesq,only one tracer flavour considered
,gld227,Perm anomaly - EX,,2013.2,252,230,,,1.00E+09,"1,1,1,10",21,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,1,100,Yes,Yes,Extended Boussinesq,only one tracer flavour considered
,gld226,Perm anomaly,Case 4 (F - in revision),2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.2,100,Yes,Yes,No asthenosphere,
,gld225,Perm anomaly,Case 3 (F - in revision),2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.3,100,Yes,Yes,No asthenosphere,
,gld224,Perm anomaly,Case 2 (F - in revision),2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.4,100,Yes,Yes,No asthenosphere,
,gld223,Perm anomaly - EX,,2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq,only one tracer flavour considered
,gld222,Perm anomaly - EX,,2013.2,252,230,,,1.00E+09,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq,only one tracer flavour considered
,gld221,Perm anomaly - EX,,2013.2,252,230,,,2.25E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq,only one tracer flavour considered
,gld220,Perm anomaly - EX,,2013.2,252,230,,,2.26E+07,"1,0.33,0.33,10",24,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq,only one tracer flavour considered
,gld219,Perm anomaly - EX,,2013.2,252,230,,,2.25E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq,Background mantle temperature 0.635 instead of 0.5; only one tracer flavour considered
,gld218,Perm anomaly - EX,,2013.2,252,230,,,2.26E+07,"1,0.33,0.33,10",24,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Extended Boussinesq,Background mantle temperature 0.635 instead of 0.5; only one tracer flavour considered
,gld217,Perm anomaly,Case 11 (F - in revision),2015.1,618,50,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld216,Perm anomaly,Case 10 (F - in revision),2015.1,618,100,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld215,Perm anomaly,Case 9 (F - in revision),2015.1,618,150,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld214,Perm anomaly,Case 8 (F - in revision),2015.1,618,200,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld213,Perm anomaly,,2015.1,618,250,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld212,Perm anomaly,,2015.1,618,300,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld211,Perm anomaly,,2015.1,618,350,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld210,Perm anomaly,,2015.1,618,400,,,8.60E+08,"1,1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld209,Perm anomaly,,2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,"100, 0.02",No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,No asthenosphere,
,gld208,Perm anomaly,,2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,"100, 0.1",No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,No asthenosphere,
,gld207,Perm anomaly,,2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,"100, 50",No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,No asthenosphere,
,gld206,Perm anomaly,,2013.2,252,230,,,8.60E+08,"1,1,1,10",22,Yes,"100, 10",No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,No asthenosphere,
,gld205,Perm anomaly,,2015.2,702,230,,,8.60E+08,"1,0.1,1,10",27,Yes,100,Yes,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,UM_depth=1000; Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld204,Perm anomaly,,2015.1,618,410,,,8.60E+08,"1,1,1,10",27,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,UM_depth=1000; Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld203,Perm anomaly,,2015.1,618,410,,,8.60E+08,"1,1,1,10",27,Yes,100,No,800,425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,UM_depth=1000; Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld202,Perm anomaly,,2015.1,618,410,,,8.60E+08,"1,0.1,1,10",27,Yes,100,No,800,425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,UM_depth=1000; Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld201,Perm anomaly,,2015.1,618,410,,,8.60E+08,"1,0.1,1,10",27,Yes,100,No,800,425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,UM_depth=1000; Asthenosphere below the oceans but not below the continents (much less induced net rotation in the lower mantle); Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld200,Perm anomaly,,2015.2,702,230,,,8.60E+08,"1,0.1,1,10",27,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,UM_depth=1000; Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld199,Perm anomaly,,2015.2,702,230,,,8.60E+08,"1,1,1,10",27,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,UM_depth=1000; Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld198,Perm anomaly,,2015.2,702,230,,,8.60E+08,"1,1,1,100",20,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,UM_depth=1000; Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld197,Perm anomaly,,2013.1,206,230,,,8.60E+08,"1,1,1,100",3,Yes,100,No,"1,210",660,-1.1575,-0.208,-0.211,-0.192,0.5,350,Yes,Yes,Rerun of gld31 with new code,
,gld196,Perm anomaly,,2015.1,618,410,,,8.60E+08,"1,0.1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld195,Perm anomaly,,2015.1,618,410,,,8.60E+08,"1,0.1,1,100",20,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld194,Velocity scaling,,2015.1,618,410,,,8.60E+08,"1,0.1,1,10",22,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68); free-slip surface,
,gld193,Velocity scaling,,2015.1,618,410,,,8.60E+08,"1,0.1,1,100",20,Yes,100,No,800,425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68); free-slip surface,
,gld192,Perm anomaly,,2015.1,618,410,,,8.60E+08,"1,0.1,1,100",20,Yes,100,No,800,425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld191,Velocity scaling,,2015.1,618,410,,,8.60E+08,"1,0.1,1,100",20,Yes,100,No,800,425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Asthenosphere below the oceans but not below the continents (much less induced net rotation in the lower mantle); Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68); free-slip surface,
,gld190,Perm anomaly,,2015.1,618,410,,,8.60E+08,"1,0.1,1,100",20,Yes,100,No,800,425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Asthenosphere below the oceans but not below the continents (much less induced net rotation in the lower mantle); Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld189,Eastern Australia,,2015.2,702,230,,,8.60E+08,"1,1,1,100",20,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld188,Tethyan orogens,,2015.1,756,40,,gld181,8.60E+08,"1,0.1,1,100",20,Yes,100,No,"1,300",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Flat slab IND_EUR, with ramp; Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68)",
,gld187,Tethyan orogens,,2015.1,756,40,,gld181,8.60E+08,"1,0.1,1,100",20,Yes,100,No,"1,300",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,"Flat slab IND_EUR, without ramp;Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68)",
,gld186,Tethyan orogens,,2015.1,618,40,,gld181,8.60E+08,"1,0.1,1,100",20,Yes,100,No,"1,300",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,No flat slab IND_EUR; Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld185,Perm anomaly,,2015.2,702,230,,,8.60E+08,"1,0.1,1,100",20,Yes,100,No,"1,400",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
,gld184,NATL,,2015.1,618,200,,gld183,8.60E+08,"1,0.1,1,100",20,Yes,100,No,"1,300",425,-0.8345,-0.235,-0.211,-0.192,0.5,100,Yes,Yes,Asthenosphere below the oceans but not below the continents (much less induced net rotation in the lower mantle); Plate model (SF max age 80); thick LM slabs in IC (advective thickening 3.68),
